Year	Code	File name prefix	Author	Work	Licence
1887	lb1790113	BenedictssonV_FruMarianne_1887	Victoria Benedictsson	Fru Marianne	cc-by	
1819	lb1798027	CederborghF_NagotLitetOmGrefveJaquesPancrace_1819	Fredrik Cederborgh	Något litet om Grefve Jaques Pancrace von Himmel och Jord. En timmas skämt af Författaren till Uno von Trazenberg	cc-by	
1899	lb1799219	LagerlofS_DrottningarIKungahalla_1899	Selma Lagerlöf	Drottningar i Kungahälla jämte andra berättelser	cc-by	
1888	lb1814351	BenedictssonV_BerattelserOchUtkast_1888	Victoria Benedictsson	Berättelser och utkast	cc-by	
1906	lb1844652	ElkanS_Konungen3_1906	Sophie Elkan	Konungen. I landsflykt. En sannsaga berättad af Sophie Elkan	cc-by	
1907	lb1850713	SoderbergH_DetMorknar_1907	Hjalmar Söderberg	Det mörknar öfver vägen. Berättelser	cc-by	
1841	lb1854941	KnorringS_Skizzer1_1841	Sophie von Knorring	Skizzer. Första samlingen	cc-by	
1841	lb1859574	HebbeW_Arabella_1841	Wendela Hebbe	Arabella. Novell af Liana	cc-by	
1840	lb1863791	FlygareCarlenE_Professorn_1840	Emilie Flygare-Carlén	Professorn och hans skyddslingar. Svenskt original	cc-by	
1887	lb2002674	BenedictssonV_FolklifOchSmaberattelser_1887	Victoria Benedictsson	Folklif och småberättelser	cc-by	
1931	lb2040506	BoyeK_Astarte_1931	Karin Boye	Astarte	cc-by	
1840	lb2055258	MellinGH_SwerigesSistaStrid_1840	Gustaf Henrik Mellin	Sweriges Sista Strid. Fantastiskt Nattstycke	cc-by	
1842	lb2105353	FlygareCarlenE_RosenPaTistelon1_1842	Emilie Flygare-Carlén	Rosen på Tistelön. Berättelse från skärgården. Förra delen	cc-by	
1842	lb2105354	FlygareCarlenE_RosenPaTistelon2_1842	Emilie Flygare-Carlén	Rosen på Tistelön. Berättelse från skärgården. Senare delen	cc-by	
1901	lb2107912	KerfstedtA_Reflexer_1901	Amanda Kerfstedt	Reflexer	cc-by	
1903	lb2107920	LagerlofS_HerrArnesPenningar_1903	Selma Lagerlöf	Herr Arnes penningar	cc-by	
1899	lb2156980	KerfveA_GunnarHolmsMinnen1_1899	Axel Kerfve	Gunnar Holms minnen. Ur en Stockholms-detektivs minnen 1. Vackra grefvinnan	cc-by	
1900	lb2156981	KerfveA_GunnarHolmsMinnen2_1900	Axel Kerfve	Gunnar Holms minnen. Ur en Stockholms-detektivs minnen 2. Mordet på Södra teatern	cc-by	
1900	lb2156982	KerfveA_GunnarHolmsMinnen3_1900	Axel Kerfve	Gunnar Holms minnen. Ur en Stockholms-detektivs minnen 3. Hans höghets älskarinna	cc-by	
1900	lb2156983	KerfveA_GunnarHolmsMinnen4_1900	Axel Kerfve	Gunnar Holms minnen. Ur en Stockholms-detektivs minnen 4. Falske doktorn	cc-by	
1898	lb2172078	LundegardA_Struensee1_1898	Axel Lundegård	Struensee. En människoskildring ur historien i tre romaner. I. Stadsläkaren i Altona	cc-by	
1899	lb2172079	LundegardA_Struensee2_1899	Axel Lundegård	Struensee. En människoskildring ur historien i tre romaner. II. På höjderna	cc-by	
1900	lb2172080	LundegardA_Struensee3_1900	Axel Lundegård	Struensee. En människoskildring ur historien i tre romaner. III. Korsets väg	cc-by	
1857	lb2186124	RydbergV_FribytarenPaOstersjon_1857	Viktor Rydberg	Fribytaren på Östersjön	cc-by	
1841	lb2204430	PalmbladVF_Noveller2_1841	Vilhelm Fredrik Palmblad	Noveller. Andra häftet. Holmen i sjön Dall	cc-by	
1840	lb2204431	PalmbladVF_Noveller1_1840	Vilhelm Fredrik Palmblad	Noveller. Första häftet. Kärlek och politik	cc-by	
1884	lb22168	BenedictssonV_FranSkane_1884	Victoria Benedictsson	Från Skåne. Studier	cc-by	
1912	lb22199	EngstromA_KryssOchLandkanning_1912	Albert Engström	Kryss och landkänning	cc-by	
1860	lb2221284	FlygareE_BortaOchHemma_1860	Edvard Flygare	Borta och hemma. Skizzer och noveller	cc-by	
1841	lb2240463	Anonym_Slangkyss_1841	Anonym	Slängkyss åt Törnrosens Boks, och Nu-Tidens förnämsta Svenska Författarinnors Snille	cc-by	
1840	lb2240481	BlancheA_SaraWidebeckEnTafla_1840	August Blanche	Sara Widebeck. En tafla ur lifvet	cc-by	
1902	lb2245703	OdmannJM_EbbaBrahesRing_1902	Jenny Maria Ödmann	Ebba Brahes ring. En stockholms-roman af J–y Brn	cc-by	
